Numero animale;Gruppo;Data evento;Tipo;Descrizione;Data uscita;Utente;Data;Tempo;Mese;Anno;Mese Anno
973;Asciutte;2020-06-24 07:03:53.957;Cambio gruppo;5, Asciutte -> 3, VMS 3;2020-12-09 10:06:56.610;Nicola;2020-06-24;07:03:53.957000;6;2020;2020-06
973;Asciutte;2020-06-24 00:00:00.000;Parto;Normale;2020-12-09 10:06:56.610;Nicola;2020-06-24;00:00:00;6;2020;2020-06
284;VMS 4;2020-06-23 11:21:58.673;Note;Generale;2021-03-04 14:41:37.010;Nicola;2020-06-23;11:21:58.673000;6;2020;2020-06
719;VMS 1;2020-06-23 11:18:49.137;Note;Generale;2021-11-16 15:50:13.160;Nicola;2020-06-23;11:18:49.137000;6;2020;2020-06
968;VMS 4;2020-06-23 10:56:11.173;Diagnosi/trattamento;"Dns: Follicolo destro; Posizione: (-); Trt: ; Fmc: ";2021-04-01 14:47:02.330;Nicola;2020-06-23;10:56:11.173000;6;2020;2020-06
655;VMS 4;2020-06-23 10:55:52.260;Note;Generale;;Nicola;2020-06-23;10:55:52.260000;6;2020;2020-06
284;VMS 4;2020-06-23 10:55:41.713;Diagnosi/trattamento;"Dns: Follicolo destro; Posizione: (-); Trt: ; Fmc: ";2021-03-04 14:41:37.010;Nicola;2020-06-23;10:55:41.713000;6;2020;2020-06
980;VMS 2;2020-06-23 10:54:20.580;Note;Generale;;Nicola;2020-06-23;10:54:20.580000;6;2020;2020-06
36;VMS 2;2020-06-23 10:54:05.543;Diagnosi/trattamento;"Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ";;Nicola;2020-06-23;10:54:05.543000;6;2020;2020-06
11;VMS 2;2020-06-23 10:53:39.757;Diagnosi/trattamento;"Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ";;Nicola;2020-06-23;10:53:39.757000;6;2020;2020-06
39;VMS 3;2020-06-23 00:00:00.010;Inseminazione;"Artificial Insemination; Caravaggio; Caravaggio; Unknown Brand; UnknownBreeder";2021-07-01 10:00:45.610;Nicola;2020-06-23;00:00:00.010000;6;2020;2020-06
