Numero animale,Gruppo,Data evento,Tipo,Descrizione,Data uscita,Utente,Data,Tempo,Mese,Anno,Mese Anno,id,count
979,Parco 5,2022-05-21 07:56:01.447,Cambio gruppo,"25, Parco 5 -> 1, VMS 1",,Nicola,2022-05-21,07:56:01.447000,5,2022,2022-05,0,223
979,Parco 5,2022-05-21 00:00:00.000,Parto,Normale,,Nicola,2022-05-21,00:00:00,5,2022,2022-05,1,223
612,VMS 4,2022-05-20 10:42:17.300,Note,Generale,,Nicola,2022-05-20,10:42:17.300000,5,2022,2022-05,2,223
108,VMS 1,2022-05-20 08:50:55.013,Note,Generale,,Nicola,2022-05-20,08:50:55.013000,5,2022,2022-05,3,223
53,Parco 5,2022-05-20 08:05:05.533,Cambio gruppo,"25, Parco 5 -> 1, VMS 1",,Nicola,2022-05-20,08:05:05.533000,5,2022,2022-05,4,223
9,VMS 1,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,5,223
53,Parco 5,2022-05-20 00:00:00.000,Parto,Normale,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,6,223
62,VMS 1,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Cisti del corpo luteo destra; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,7,223
70,VMS 3,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,8,223
99,VMS 3,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,9,223
105,VMS 4,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,10,223
123,VMS 3,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,11,223
126,VMS 3,2022-05-20 00:00:00.000,Controllo gravidanza,-,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,12,223
213,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,13,223
214,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,14,223
215,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,-,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,15,223
216,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,16,223
217,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,-,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,17,223
219,VMS 2,2022-05-20 00:00:00.000,Controllo gravidanza,-,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,18,223
661,VMS 4,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo destro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,19,223
728,VMS 4,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,20,223
864,VMS 4,2022-05-20 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,21,223
901,VMS 4,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Calore secondo il veterinario; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,22,223
914,VMS 1,2022-05-20 00:00:00.000,Diagnosi/trattamento,Dns: Calore secondo il veterinario; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-20,00:00:00,5,2022,2022-05,23,223
174,Parco 5,2022-05-19 15:11:32.297,Cambio gruppo,"25, Parco 5 -> 3, VMS 3",,Nicola,2022-05-19,15:11:32.297000,5,2022,2022-05,24,223
538,VMS 1,2022-05-19 14:14:18.187,Cambio gruppo,"1, VMS 1 -> 2, VMS 2",,Nicola,2022-05-19,14:14:18.187000,5,2022,2022-05,25,223
223,VMS 3,2022-05-19 10:34:33.080,Note,Generale,,Nicola,2022-05-19,10:34:33.080000,5,2022,2022-05,26,223
222,VMS 3,2022-05-19 10:34:22.987,Note,Generale,,Nicola,2022-05-19,10:34:22.987000,5,2022,2022-05,27,223
221,VMS 3,2022-05-19 10:34:13.003,Note,Generale,,Nicola,2022-05-19,10:34:13.003000,5,2022,2022-05,28,223
125,VMS 3,2022-05-19 10:34:02.553,Note,Generale,,Nicola,2022-05-19,10:34:02.553000,5,2022,2022-05,29,223
226,VMS 2,2022-05-19 10:33:49.650,Note,Generale,,Nicola,2022-05-19,10:33:49.650000,5,2022,2022-05,30,223
225,VMS 2,2022-05-19 10:33:39.013,Note,Generale,,Nicola,2022-05-19,10:33:39.013000,5,2022,2022-05,31,223
228,VMS 2,2022-05-19 10:33:26.833,Note,Generale,,Nicola,2022-05-19,10:33:26.833000,5,2022,2022-05,32,223
220,VMS 2,2022-05-19 10:33:16.000,Note,Generale,,Nicola,2022-05-19,10:33:16,5,2022,2022-05,33,223
224,VMS 2,2022-05-19 10:33:05.593,Note,Generale,,Nicola,2022-05-19,10:33:05.593000,5,2022,2022-05,34,223
227,VMS 2,2022-05-19 10:32:33.930,Note,Generale,,Nicola,2022-05-19,10:32:33.930000,5,2022,2022-05,35,223
60,VMS 4,2022-05-19 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,36,223
91,VMS 1,2022-05-19 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,37,223
151,VMS 4,2022-05-19 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,38,223
174,Parco 5,2022-05-19 00:00:00.000,Parto,Normale,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,39,223
440,VMS 4,2022-05-19 00:00:00.000,Diagnosi/trattamento,Dns: Follicolo sinistro; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,40,223
563,VMS 4,2022-05-19 00:00:00.000,Diagnosi/trattamento,Dns: Corpo luteo destra; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,41,223
811,VMS 1,2022-05-19 00:00:00.000,Diagnosi/trattamento,Dns: Calore secondo il veterinario; Posizione: (-); Trt: ; Fmc: ,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,42,223
821,VMS 1,2022-05-19 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,43,223
959,VMS 1,2022-05-19 00:00:00.000,Controllo gravidanza,+,,Nicola,2022-05-19,00:00:00,5,2022,2022-05,44,223
191,VMS 2,2022-05-17 16:16:09.573,Note,Generale,,Nicola,2022-05-17,16:16:09.573000,5,2022,2022-05,45,223
185,VMS 2,2022-05-17 16:15:39.947,Note,Generale,,Nicola,2022-05-17,16:15:39.947000,5,2022,2022-05,46,223
62,VMS 1,2022-05-17 16:15:22.477,Note,Generale,,Nicola,2022-05-17,16:15:22.477000,5,2022,2022-05,47,223
644,VMS 1,2022-05-17 16:15:06.087,Note,Generale,,Nicola,2022-05-17,16:15:06.087000,5,2022,2022-05,48,223
250,VMS 3,2022-05-17 16:14:48.710,Note,Generale,,Nicola,2022-05-17,16:14:48.710000,5,2022,2022-05,49,223
9,VMS 1,2022-05-17 16:14:29.860,Note,Riproduzione,,Nicola,2022-05-17,16:14:29.860000,5,2022,2022-05,50,223
